State,CMS Certification Number (CCN)*,Provider Name,Address,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,HHCAHPS Survey Summary Star Rating,Footnote HHCAHPS Survey Summary Star Rating,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),Footnote for percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Response rate,Footnote for response rate
CA,059764,"PROHEALTH HOME CARE, INC","1375 EXPOSITION BLVD, SUITE 250A",SACRAMENTO,95815,8772463830,Local,Yes,Yes,Yes,Yes,Yes,Yes,11/08/2016,3,,2,,87,,4,,88,,3,,80,,2,,85,,73,,148,,21,
CA,059765,"AMLIFE HOME HEALTH SERVICES, LLC","16275 MONTEREY STREET, SUITE P",MORGAN HILL,95037,4086075067,Local,Yes,Yes,Yes,Yes,Yes,Yes,10/22/2016,Not Available,11,Not Available,11,90,11,Not Available,11,84,11,Not Available,11,87,11,Not Available,11,78,11,71,11,16,,20,
CA,059766,INTEGRATED HOME HEALTH,"701 E SANTA CLARA STREET, SUITE #16",VENTURA,93001,8056678344,Local,Yes,Yes,Yes,Yes,Yes,Yes,01/18/2017,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059768,NATIONAL HOME HEALTH SERVICES,"2277 WATT AVENUE, SUITE 300",SACRAMENTO,95825,9164732590,Local,Yes,Yes,Yes,Yes,Yes,Yes,11/19/2014,3,,3,,85,,3,,75,,2,,79,,3,,82,,80,,79,,21,
CA,059769,"RNPLUS HOME HEALTH, INC.","22600 SAVI RANCH PARKWAY, SUITE A2",YORBA LINDA,92887,7145951723,Local,Yes,Yes,Yes,Yes,Yes,Yes,12/05/2016,Not Available,11,Not Available,11,90,11,Not Available,11,84,11,Not Available,11,82,11,Not Available,11,80,11,73,11,13,,11,
CA,059770,"HOPE HOME HEALTH CARE, INC","11040 SANTA MONICA BLVD, SUITE #340",LOS ANGELES,90025,4242736616,Local,Yes,Yes,Yes,Yes,Yes,Yes,09/27/2016,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059771,"CIRCLE OF LIFE HOME HEALTH, INC","1241 S GLENDALE AVE, SUITE 202A",GLENDALE,91205,8184059464,Local,Yes,Yes,Yes,Yes,Yes,Yes,08/28/2016,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059772,APEX HEALTHCARE SERVICES LLC,"4950 HAMILTON AVENUE, SUITE 208",SAN JOSE,95130,4086456845,Local,Yes,Yes,Yes,Yes,Yes,Yes,03/01/2017,Not Available,11,Not Available,11,81,11,Not Available,11,87,11,Not Available,11,77,11,Not Available,11,84,11,77,11,21,,23,
CA,059773,GUARDIAN ANGEL HOME CARE INC.,1100 W SHAW AVE SUITE 130,FRESNO,93711,5592241103,Local,Yes,Yes,Yes,Yes,Yes,Yes,12/14/2016,Not Available,11,Not Available,11,84,11,Not Available,11,83,11,Not Available,11,71,11,Not Available,11,73,11,72,11,33,,21,
CA,059774,"INTOUCH HOME CARE, INC.","4701 PATRICK HENRY DRIVE, SUITE 2601",SANTA CLARA,95054,4083949529,Local,Yes,Yes,Yes,Yes,Yes,Yes,12/20/2016,Not Available,11,Not Available,11,78,11,Not Available,11,78,11,Not Available,11,82,11,Not Available,11,60,11,65,11,25,,23,
CA,059775,"MEDI-KARE 1, INC","20944 SHERMAN WAY, SUITE 206C",CANOGA PARK,91303,8189682717,Local,Yes,Yes,Yes,Yes,Yes,Yes,08/05/2016,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059776,"ADVANCED HEALTH CARE PROVIDERS, INC","17620 SHERMAN WAY, SUITE 215",VAN NUYS,91406,8187459927,Local,Yes,Yes,Yes,Yes,Yes,Yes,08/02/2016,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059777,"NATIONAL HOME HEALTH, INC","126 S JACKSON ST, SUITE 305",GLENDALE,91205,8185029404,Local,Yes,Yes,Yes,Yes,Yes,Yes,11/15/2016,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059778,GUARDIAN ANGEL HOME CARE  INC.,"1885 THE ALAMEDA , SUITE 208",SAN JOSE,95126,4082611120,Local,Yes,Yes,Yes,No,Yes,Yes,12/06/2016,Not Available,11,Not Available,11,77,11,Not Available,11,63,11,Not Available,11,68,11,Not Available,11,73,11,57,11,14,,19,
CA,059779,"ELITE CARE HOME HEALTH AGENCY, INC.","91 WESTBOROUGH BLVD, SUITE 2020",SOUTH SAN FRANCISCO,94080,6502731184,Local,Yes,Yes,Yes,Yes,Yes,Yes,09/15/2016,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059780,"GRACIOUS HOME HEALTH, INC","6314 VAN NUYS BLVD, SUITE #208",VAN NUYS,91401,8187822723,Local,Yes,Yes,Yes,Yes,Yes,Yes,09/06/2016,Not Available,11,Not Available,11,87,11,Not Available,11,86,11,Not Available,11,94,11,Not Available,11,84,11,76,11,24,,8,
CA,059781,ATIVA HOME HEALTH,18022 COWAN SUITE 215,IRVINE,92614,9492252188,Local,Yes,Yes,Yes,Yes,Yes,Yes,01/11/2017,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059782,"SAINT INESS HOME HEALTHCARE, INC","2001 WEST MAGNOLIA BLVD, SUITE A",BURBANK,91506,8185614019,Local,Yes,Yes,Yes,Yes,Yes,Yes,01/23/2017,Not Available,11,Not Available,11,96,11,Not Available,11,98,11,Not Available,11,98,11,Not Available,11,90,11,99,11,19,,21,
CA,059783,"CALIFORNIA PEOPLE'S HOME HEALTH, INC.","12011 VICTORY BLVD, SUITE 205",NORTH HOLLYWOOD,91606,8189800087,Local,Yes,Yes,Yes,Yes,Yes,Yes,09/21/2016,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059784,DE PORRES HOME HEALTHCARE SERVICES,1130 N EL DORADO STREET,STOCKTON,95202,2099380121,Local,Yes,Yes,Yes,Yes,Yes,Yes,02/23/2017,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059785,"WICARE HOME HEALTH, LLC","4615 E INDUSTRIAL STREET, SUITE #1L",SIMI VALLEY,93063,8055782273,Local,Yes,Yes,Yes,Yes,Yes,Yes,03/26/2017,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059786,PROGRESSIVE HOME HEALTH CARE,1619 H STREET STE B,MODESTO,95354,2095051035,Local,Yes,Yes,Yes,Yes,Yes,Yes,04/28/2017,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059787,GIMAG HOME HEALTH CARE,"4047 1ST STREET, SUITE 207",LIVERMORE,94551,9254536169,Local,Yes,Yes,Yes,Yes,Yes,Yes,04/26/2017,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059788,"BAYPOINT HOME HEALTH, INC","2515 SANTA CLARA AVENUE, SUITE 105",ALAMEDA,94501,8663927751,Local,Yes,Yes,No,Yes,Yes,Yes,04/29/2017,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059789,"OPTIMA HOME HEALTH,  INC","3695 ALAMO STREET, SUITE #200",SIMI VALLEY,93063,8052127220,Local,Yes,Yes,Yes,Yes,Yes,Yes,06/08/2017,4,11,5,11,94,11,5,11,94,11,2,11,80,11,4,11,92,11,89,11,41,,28,
CA,059790,"MAXIM HEALTHCARE SERVICES, INC","2141 PALOMAR AIRPORT ROAD, SUITE 350",CARLSBAD,92011,7604380078,Local,Yes,No,Yes,Yes,No,Yes,03/14/2017,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059791,"MVH HOME HEALTH, INC","4312 WOODMAN AVE, SUITE 205",SHERMAN OAKS,91423,8186389468,Local,Yes,Yes,Yes,Yes,Yes,Yes,02/15/2017,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059792,"HEART, INC","5320 LAUREL CANYON BLVD, SUITE 201",VALLEY VILLAGE,91607,8184049594,Local,Yes,Yes,Yes,Yes,Yes,Yes,03/26/2016,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059793,"LOYALTY HOME HEALTH, INC","905 S LAKE STREET, SUITE 201",BURBANK,91502,8182470007,Local,Yes,Yes,Yes,Yes,Yes,Yes,02/10/2017,Not Available,11,Not Available,11,90,11,Not Available,11,91,11,Not Available,11,94,11,Not Available,11,84,11,86,11,29,,19,
CA,059794,"COLBY CARE HOME HEALTH, INC","19531 PARTHENIA ST, SUITE B",NORTHRIDGE,91324,8183493919,Local,Yes,Yes,Yes,Yes,Yes,Yes,08/13/2016,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059795,"GMA HOME HEALTH, INC","6365 VAN NUYS BLVD, SUITE 7 & 8",VAN NUYS,91401,8189092599,Local,Yes,Yes,Yes,Yes,Yes,Yes,03/01/2017,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059796,CARE MUST,1330 MEMOREX DRIVE SUITE A,SANTA CLARA,95050,4084825735,Local,Yes,Yes,Yes,No,Yes,Yes,05/22/2017,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059797,"CRYSTAL ROSE HOME HEALTH CARE, INC",44841 DATE AVE,LANCASTER,93534,6619498877,Local,Yes,Yes,Yes,Yes,Yes,Yes,02/05/2017,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059798,"INVIEW HOME HEALTH CARE, INC","425 VICTORY BLVD, SUITE D",BURBANK,91502,9099848917,Local,Yes,Yes,Yes,Yes,Yes,Yes,02/06/2017,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CA,059799,"TRUE CARE HOME HEALTH SERVICES, INC","7355 TOPANGA CANYON BLVD, SUITE 221",CANOGA PARK,91303,8184773284,Local,Yes,Yes,Yes,Yes,Yes,Yes,05/05/2017,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CO,067002,COLORADO VNA LLC,6750 W 52ND AVE,ARVADA,80002,3036982121,Visiting Nurse Association,Yes,Yes,Yes,Yes,Yes,Yes,07/01/1966,3,,3,,87,,3,,83,,3,,80,,3,,84,,77,,324,,29,
CO,067004,NORTHWEST COLORADO HEALTH,480 ROLLINGSTONE DR,STEAMBOAT SPRINGS,80487,9708791632,Visiting Nurse Association,Yes,Yes,Yes,Yes,Yes,Yes,07/01/1966,4,,4,,88,,4,,85,,4,,88,,3,,84,,82,,70,,29,
CO,067015,BENT COUNTY PUBLIC HEALTH,701 PARK AVE,LAS ANIMAS,81054,7194560517,Local,Yes,Yes,Yes,No,No,Yes,10/19/1966,5,11,5,11,95,11,5,11,88,11,4,11,86,11,4,11,89,11,84,11,49,,36,
CO,067026,ALAMOSA COUNTY PUBLIC HEALTH DEPARTMENT,8900 INDEPENDENCE WAY,ALAMOSA,81101,7195896639,Official Health Agency,Yes,Yes,Yes,No,No,Yes,04/01/1972,4,11,4,11,90,11,5,11,86,11,4,11,91,11,3,11,84,11,83,11,66,,24,
CO,067044,BRISTLECONE HEALTH SERVICES,18 SCHOOL RD STE 225,FRISCO,80443,9706685604,Local,Yes,Yes,Yes,No,Yes,Yes,04/01/1979,5,11,5,11,93,11,5,11,94,11,4,11,86,11,5,11,99,11,94,11,43,,37,
CO,067051,OPTIO HEALTH SERVICES,501 S CHERRY ST #700,DENVER,80246,3033212929,Local,Yes,Yes,Yes,Yes,Yes,Yes,01/03/1980,4,,4,,89,,4,,85,,5,,92,,3,,85,,85,,94,,31,
CO,067054,HOME HEALTH CARE PROFESSIONALS INC,3680 S GALAPAGO ST #102,ENGLEWOOD,80110,3037776827,Local,Yes,Yes,Yes,Yes,Yes,Yes,09/30/1980,Not Available,11,Not Available,11,81,11,Not Available,11,75,11,Not Available,11,81,11,Not Available,11,87,11,71,11,36,,15,
CO,067056,BAYADA HOME HEALTH CARE INC,1385 S COLORADO BLVD STE 222,DENVER,80222,3037820900,Local,Yes,Yes,Yes,Yes,Yes,Yes,12/19/1980,4,,4,,89,,5,,88,,3,,82,,4,,85,,80,,305,,32,
CO,067063,MOUNT EVANS HOME HEALTH CARE & HOSPICE,3081 BERGEN PEAK DR,EVERGREEN,80439,3036746400,Local,Yes,Yes,Yes,Yes,Yes,Yes,07/01/1981,5,,5,,95,,5,,92,,4,,85,,5,,93,,93,,176,,34,
CO,067065,CENTER FOR PEOPLE WITH DISABILITIES,1675 RANGE ST,BOULDER,80301,3034428662,Local,Yes,No,No,No,No,Yes,04/21/1981,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CO,067069,PARKVIEW HOMECARE,54 CLUB MANOR DR #103,PUEBLO,81008,7195844324,Hospital Based Program,Yes,Yes,Yes,Yes,Yes,Yes,01/08/1982,4,,4,,89,,4,,84,,3,,81,,4,,90,,87,,96,,27,
CO,067080,INTERIM HEALTHCARE OF SOUTHEASTERN COLORADO INC,1901 N UNION #202,COLORADO SPRINGS,80909,7196329900,Local,Yes,Yes,Yes,Yes,Yes,Yes,10/18/1982,3,,2,,83,,3,,81,,2,,79,,3,,84,,75,,213,,35,
CO,067084,COLUMBINE POUDRE HOME CARE,915 CENTRE AVE #2,FORT COLLINS,80526,9704825096,Official Health Agency,Yes,Yes,Yes,Yes,Yes,Yes,12/15/1982,3,,3,,89,,4,,87,,2,,78,,3,,83,,80,,216,,26,
CO,067098,ARGUS OF COLORADO HOME HEALTH,720 S COLORADO BLVD STE 600-N,GLENDALE,80246,3033224100,Official Health Agency,Yes,Yes,Yes,Yes,Yes,Yes,10/20/1983,3,11,2,11,86,11,3,11,85,11,2,11,78,11,3,11,84,11,82,11,64,,19,
CO,067101,AOI HOMECARE,1550 DOVER ST,LAKEWOOD,80215,3033310818,Local,Yes,No,No,No,No,Yes,12/15/1983,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CO,067112,CENTURA HEALTH AT HOME-PENROSE ST FRANCIS HEAL,7015 TALL OAK DR,COLORADO SPRINGS,80919,7197767500,Hospital Based Program,Yes,Yes,Yes,Yes,Yes,Yes,04/12/1984,4,,4,,91,,4,,87,,3,,83,,4,,91,,80,,319,,34,
CO,067115,CENTURA HEALTH AT HOME,7995 E PRENTICE AVE #204,GREENWOOD VILLAGE,80111,3035615000,Local,Yes,Yes,Yes,Yes,Yes,Yes,07/17/1991,4,,4,,90,,4,,85,,3,,80,,4,,89,,75,,351,,28,
CO,067117,DELTA MONTROSE HOME HEALTH SERVICES,70 STAFFORD LN #103,DELTA,81416,9708742463,Hospital Based Program,Yes,Yes,Yes,Yes,Yes,Yes,04/10/1984,3,,3,,89,,3,,83,,2,,77,,3,,83,,82,,226,,33,
CO,067119,MERCY HOME HEALTH,175 MERCADO STE 131,DURANGO,81301,9703822000,Hospital Based Program,Yes,Yes,Yes,Yes,Yes,Yes,05/23/1984,4,,5,,93,,4,,89,,4,,87,,4,,85,,89,,149,,19,
CO,067123,GREELEY CENTER FOR INDEPENDENCE INC,2780 28TH AVE,GREELEY,80634,9703392444,Local,Yes,No,No,No,No,Yes,06/20/1984,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CO,067129,KINDRED AT HOME,5755 MARK DABLING BLVD STE 325,COLORADO SPRINGS,80919,7195319585,Local,Yes,Yes,Yes,Yes,Yes,Yes,10/25/1984,4,,4,,91,,4,,88,,3,,82,,4,,88,,82,,308,,30,
CO,067133,SUMMITWEST CARE,2800 PRINTERS WAY STE 200,GRAND JUNCTION,81506,9702630202,Local,Yes,Yes,Yes,Yes,Yes,Yes,07/06/1981,3,,3,,88,,4,,85,,3,,83,,2,,80,,77,,245,,31,
CO,067136,HEART OF THE ROCKIES HOME HEALTH AND HOSPICE,301 OAK ST UNIT E,SALIDA,81201,7195397638,Local,Yes,Yes,Yes,No,Yes,Yes,01/01/1985,3,,3,,86,,4,,86,,2,,77,,3,,80,,83,,101,,30,
CO,067137,BANNER HOME CARE COLORADO,1810 N BOISE,LOVELAND,80538,9708204435,Official Health Agency,Yes,Yes,Yes,Yes,Yes,Yes,01/23/1985,4,,4,,88,,4,,86,,3,,81,,3,,84,,75,,281,,30,
CO,067140,KIT CARSON COUNTY MEMORIAL HOSPITAL HOME HEALTH,286 16TH ST,BURLINGTON,80807,7193464860,Local,Yes,Yes,No,No,Yes,Yes,04/09/1985,Not Available,11,Not Available,11,92,11,Not Available,11,77,11,Not Available,11,93,11,Not Available,11,84,11,75,11,21,,41,
CO,067144,ESTES PARK HEALTH HOME HEALTH CARE,555 PROSPECT AVE,ESTES PARK,80517,9705862273,Hospital Based Program,Yes,Yes,Yes,Yes,Yes,Yes,06/20/1985,3,11,3,11,90,11,5,11,91,11,2,11,79,11,2,11,81,11,79,11,54,,28,
CO,067146,"LANI'S CARE NETWORK, INC",17420 WALDEN WAY,COLORADO SPRINGS,80908,7194883389,Local,Yes,No,No,No,No,Yes,07/31/1985,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CO,067147,BANNER HOME CARE COLORADO,5628 W 19TH ST STE 1,GREELEY,80634,9708106222,Local,Yes,Yes,Yes,Yes,Yes,Yes,10/08/1985,4,,4,,89,,4,,88,,3,,81,,3,,83,,75,,254,,25,
CO,067156,BOULDER COMMUNITY HOME CARE,5495 ARAPAHOE AVE,BOULDER,80301,3034154515,Hospital Based Program,Yes,Yes,Yes,Yes,Yes,Yes,05/01/1986,4,,4,,92,,5,,90,,3,,80,,5,,94,,84,,173,,29,
CO,067161,YUMA DISTRICT HOSPITAL HOME HEALTH CARE,1000 WEST 8TH AVE,YUMA,80759,9708484758,Hospital Based Program,Yes,Yes,Yes,No,Yes,Yes,01/08/1987,Not Available,11,Not Available,11,80,11,Not Available,11,79,11,Not Available,11,81,11,Not Available,11,87,11,49,11,21,,25,
CO,067168,PIONEERS HOSPITAL HOME HEALTH,575 3RD ST,MEEKER,81641,9708789265,Hospital Based Program,Yes,Yes,Yes,Yes,No,Yes,12/13/1988,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CO,067169,CANYON HOME CARE AND HOSPICE OF LOVELAND,350 E 7TH ST STE 2,LOVELAND,80537,9703305655,Visiting Nurse Association,Yes,Yes,Yes,Yes,Yes,Yes,01/06/1989,3,,4,,90,,3,,83,,2,,75,,3,,90,,83,,77,,28,
CO,067181,ALLIANT HOME HEALTH LLC,12995 SHERIDAN BLVD STE 201,BROOMFIELD,80020,3034248000,Local,Yes,Yes,Yes,Yes,Yes,Yes,03/27/1990,2,,2,,84,,3,,81,,1,,70,,2,,73,,70,,351,,25,
CO,067191,GUNNISON VALLEY HEALTH HOME MEDICAL SERVICES,120 NORTH BLVD,GUNNISON,81230,9706414254,Skilled Nursing Facility Based Program,Yes,Yes,Yes,Yes,Yes,Yes,06/05/1991,Not Available,11,Not Available,11,91,11,Not Available,11,84,11,Not Available,11,93,11,Not Available,11,82,11,81,11,33,,34,
CO,067192,AVEANNA HEALTHCARE,304 INVERNESS WAY SOUTH STE 125,ENGLEWOOD,80112,3037591342,Local,Yes,Yes,Yes,Yes,No,Yes,07/09/1991,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CO,067193,ARGUS HOME CARE INC,821 DESERT FLOWER BLVD,PUEBLO,81001,7195432634,Local,Yes,Yes,Yes,No,Yes,Yes,10/09/1991,3,,3,,88,,4,,87,,2,,79,,4,,90,,84,,113,,36,
CO,067195,"PERSONAL ASSISTANCE SERVICES OF COLORADO, LLC",9197 WEST 6TH AVE STE 1000,LAKEWOOD,80215,3032333122,Official Health Agency,Yes,Yes,Yes,Yes,No,Yes,11/22/1991,Not Available,11,Not Available,11,86,11,Not Available,11,78,11,Not Available,11,80,11,Not Available,11,79,11,64,11,20,,20,
CO,067196,KINDRED AT HOME,2764 COMPASS DR STE 108B,GRAND JUNCTION,81506,9702571275,Local,Yes,Yes,Yes,Yes,Yes,Yes,12/05/1991,3,,3,,86,,4,,85,,2,,76,,2,,80,,76,,125,,34,
CO,067198,SOUTHEAST COLORADO HOSPITAL HOME HEALTH AGENCY,204 E 10TH AVE,SPRINGFIELD,81073,7195234057,Hospital Based Program,Yes,Yes,Yes,Yes,Yes,Yes,01/15/1992,Not Available,11,Not Available,11,95,11,Not Available,11,91,11,Not Available,11,97,11,Not Available,11,99,11,93,11,15,,38,
CO,067201,SCL HOME HEALTH,8300 W 38TH AVE,WHEAT RIDGE,80033,3033887000,Official Health Agency,Yes,Yes,Yes,Yes,Yes,Yes,05/19/1992,4,,4,,89,,5,,88,,3,,84,,3,,85,,78,,313,,29,
CO,067204,COLORADO PLAINS MEDICAL CENTER HOME CARE,515 E RIVERVIEW AVE,FORT MORGAN,80701,9708673013,Official Health Agency,Yes,Yes,Yes,Yes,Yes,Yes,09/25/1992,4,,4,,90,,5,,88,,4,,88,,3,,82,,78,,123,,42,
CO,067208,GOOD SAMARITAN SOCIETY-COLORADO HOME CARE,2101 S GARFIELD AVE,LOVELAND,80537,9706352970,Local,Yes,Yes,Yes,Yes,Yes,Yes,11/16/1993,3,,3,,83,,4,,86,,2,,75,,3,,80,,77,,97,,35,
CO,067212,"INDEPENDENCE CENTER, THE",729 S TEJON ST,COLORADO SPRINGS,80903,7194718181,Local,Yes,Yes,Yes,No,No,Yes,09/13/1993,Not Available,9,Not Available,9,69,9,Not Available,9,67,9,Not Available,9,82,9,Not Available,9,100,9,92,9,7,,18,
CO,067215,PREFERRED HOME CARE SERVICES,2802 MADISON SQUARE DR STE 100,LOVELAND,80538,9707761970,Local,Yes,Yes,Yes,Yes,Yes,Yes,08/03/1993,4,,4,,90,,3,,87,,3,,83,,4,,94,,84,,136,,19,
CO,067219,HOMECARE OF THE VALLEY,1901 GRAND AVE STE 206,GLENWOOD SPRINGS,81601,9709306008,Local,Yes,Yes,Yes,Yes,Yes,Yes,12/09/1993,3,,3,,86,,3,,84,,4,,89,,2,,80,,81,,100,,23,
CO,067224,ENCOMPASS HEALTH HOME HEALTH,6021 S SYRACUSE WAY STE 204,GREENWOOD VILLAGE,80111,3037220857,Local,Yes,Yes,Yes,Yes,Yes,Yes,02/04/1994,3,,3,,88,,4,,87,,3,,83,,3,,83,,80,,305,,24,
CO,067240,AVEANNA HEALTHCARE,12100 E ILIFF AVE STE A-250,AURORA,80014,3033634107,Local,Yes,No,No,No,No,Yes,12/06/1994,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,,Not Available,
CO,067248,AT HOME HEALTHCARE,177 CRAFT DR STE 100,ALAMOSA,81101,7195896425,Local,Yes,Yes,Yes,No,Yes,Yes,03/01/1995,4,,4,,89,,4,,84,,4,,86,,4,,86,,84,,181,,38,
CO,067253,INTERIM HEALTHCARE OF FORT COLLINS INC,2000 VERMONT DR STE 100,FORT COLLINS,80524,9704724180,Local,Yes,Yes,Yes,Yes,Yes,Yes,05/05/1995,4,,4,,90,,4,,82,,3,,81,,3,,82,,74,,84,,31,
CO,067254,AMI - WELLNESS,1385 S COLORADO BLVD STE A306,DENVER,80222,3037222208,Local,Yes,Yes,Yes,Yes,Yes,Yes,05/17/1995,Not Available,11,Not Available,11,71,11,Not Available,11,52,11,Not Available,11,75,11,Not Available,11,50,11,44,11,14,,19,
CO,067255,AT HOME HEALTHCARE,2675 S ABILENE ST STE 290,AURORA,80014,3033697063,Local,Yes,Yes,Yes,Yes,Yes,Yes,05/30/1995,3,,3,,86,,3,,83,,2,,79,,2,,80,,73,,596,,26,
CO,067259,ROCKY MOUNTAIN HEALTH PLANS,2777 CROSSROADS BLVD UNIT 2,GRAND JUNCTION,81502,9702447777,Local,Yes,Yes,Yes,Yes,Yes,Yes,01/04/1995,3,,3,,87,,4,,85,,4,,86,,2,,75,,75,,76,,28,
