subject,modeldate,party,startdate,enddate,pollster,grade,samplesize,population,weight,influence,multiversions,tracking,very,somewhat,not_very,not_at_all,very_adjusted,somewhat_adjusted,not_very_adjusted,not_at_all_adjusted,timestamp,url
concern-economy,2022-05-01,all,2020-15-05,2020-18-05,Global Strategy Group/GBAO (Navigator Research),B/C,1011,rv,0.31940724,0,,T,44,45,8,3,51.366384,39.246419,6.314405,2.0608511,2022-05-01 09:17,https://navigatorresearch.org/wp-content/uploads/2020/05/Navigating-Coronavirus-Tracking-Topline-F05.19.20.pdf
concern-economy,2022-05-01,all,2020-21-05,2020-25-05,Morning Consult,B,2200,a,0.66748328,0,,,62,25,3,3,58.675954,28.575784,6.5951792,3.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/05/26135319/200572_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
concern-economy,2022-05-01,all,2020-21-05,2020-25-05,Global Strategy Group/GBAO (Navigator Research),B/C,1012,rv,0.34207325,0,,,47,40,9,4,54.366384,34.246419,7.314405,3.0608511,2022-05-01 09:17,https://navigatorresearch.org/wp-content/uploads/2020/05/Navigating-Coronavirus-Tracking-Topline-F05.26.20.pdf
concern-economy,2022-05-01,all,2020-27-05,2020-28-05,Harris Insights & Analytics,B+,1996,a,0.80585337,0,,,54,33,9,4,56.747119,30.435575,8.769418,2.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/06/Wave-14.pdf
concern-economy,2022-05-01,all,2020-28-05,2020-01-06,Global Strategy Group/GBAO (Navigator Research),B/C,1007,rv,0.35702477,0,,,46,38,12,4,53.366384,32.246419,10.314405,3.0608511,2022-05-01 09:17,https://navigatorresearch.org/wp-content/uploads/2020/06/Navigating-Coronavirus-Tracking-Topline-F06.02.20.pdf
concern-economy,2022-05-01,all,2020-29-05,2020-31-05,Harris Insights & Analytics,B+,1965,a,0.78783569,0,,,55,33,8,3,57.747119,30.435575,7.769418,1.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/06/Wave-14.pdf
concern-economy,2022-05-01,all,2020-29-05,2020-31-05,Change Research,B-,1457,lv,1.0135823,0,,,42,37,18,4,47.194419,35.4946,13.656155,3.734347,2022-05-01 09:17,https://www.changeresearch.com/post/states-of-play-battleground-wave-6
concern-economy,2022-05-01,all,2020-29-05,2020-01-06,Morning Consult,B,2200,a,0.65427007,0,,,61,27,3,2,57.675954,30.575784,6.5951792,2.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/06/03113851/2005110_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
concern-economy,2022-05-01,all,2020-29-05,2020-01-06,Ipsos,B-,1033,a,0.62860711,0,,,54,31,8,4,54.722716,30.541178,7.9946578,3.608299,2022-05-01 09:17,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-06/topline-axios-wave-11.pdf
concern-economy,2022-05-01,all,2020-04-06,2020-08-06,Global Strategy Group/GBAO (Navigator Research),B/C,1608,rv,0.5615291,0,,,40,41,15,4,47.366384,35.246419,13.314405,3.0608511,2022-05-01 09:17,https://navigatorresearch.org/wp-content/uploads/2020/06/Navigating-Coronavirus-Full-Topline-F06.11.20.pdf
concern-economy,2022-05-01,all,2020-05-06,2020-07-06,Morning Consult,B,2200,a,0.64641498,0,,,56,29,6,2,52.675954,32.575784,9.5951792,2.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/06/08131854/200617_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
concern-economy,2022-05-01,all,2020-05-06,2020-08-06,Ipsos,B-,1006,a,0.56717198,0,,,48,33,11,7,48.722716,32.541178,10.994658,6.608299,2022-05-01 09:17,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-06/topline-axios-wave-12.pdf
concern-economy,2022-05-01,all,2020-06-06,2020-08-06,Harris Insights & Analytics,B+,1969,a,0.76623483,0,,,51,34,11,4,53.747119,31.435575,10.769418,2.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/06/Wave-15-Data-Tabs.pdf
concern-economy,2022-05-01,all,2020-12-06,2020-14-06,Morning Consult,B,2200,a,0.65392494,0,,,58,27,4,3,54.675954,30.575784,7.5951792,3.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/06/15150404/200652_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
concern-economy,2022-05-01,all,2020-11-06,2020-15-06,Global Strategy Group/GBAO (Navigator Research),B/C,1009,rv,0.37469373,0,,,44,39,11,6,51.366384,33.246419,9.314405,5.0608511,2022-05-01 09:17,https://navigatorresearch.org/wp-content/uploads/2020/06/Navigating-Coronavirus-Full-Topline-F06.18.20.pdf
concern-economy,2022-05-01,all,2020-12-06,2020-15-06,Ipsos,B-,1022,a,0.56486415,0,,,54,33,10,3,54.722716,32.541178,9.9946578,2.608299,2022-05-01 09:17,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-06/topline-axios-poll-w13.pdf
concern-economy,2022-05-01,all,2020-13-06,2020-16-06,Harris Insights & Analytics,B+,1963,a,0.76059489,0,,,49,35,10,5,51.747119,32.435575,9.769418,3.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/06/Wave-16_tabs_Banner-1.pdf
concern-economy,2022-05-01,all,2020-18-06,2020-20-06,Harris Insights & Analytics,B+,1962,a,0.72644753,0,,,52,35,10,3,54.747119,32.435575,9.769418,1.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/06/Wave-17_Tabs_Banner-3.pdf
concern-economy,2022-05-01,all,2020-18-06,2020-21-06,Morning Consult,B,1995,rv,0.60406815,0,,,60,27,4,3,56.675954,30.575784,7.5951792,3.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/07/14101853/200674_crosstabs_CORONAVIRUS_CONTENT_RVs_v2_JB.pdf
concern-economy,2022-05-01,all,2020-18-06,2020-22-06,Global Strategy Group/GBAO (Navigator Research),B/C,1313,rv,0.51407963,0,,,43,40,13,4,50.366384,34.246419,11.314405,3.0608511,2022-05-01 09:17,https://navigatorresearch.org/wp-content/uploads/2020/06/Navigating-Coronavirus-Full-Topline-F06.24.20.pdf
concern-economy,2022-05-01,all,2020-19-06,2020-22-06,Ipsos,B-,1023,a,0.57127214,0,,,52,33,9,3,52.722716,32.541178,8.9946578,2.608299,2022-05-01 09:17,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-06/topline-axios-poll-wave-14.pdf
concern-economy,2022-05-01,all,2020-25-06,2020-29-06,Morning Consult,B,1986,rv,0.60361169,0,,,61,25,4,3,57.675954,28.575784,7.5951792,3.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/06/30125522/2006114_crosstabs_CORONAVIRUS_CONTENT_RVs_v2_JB.pdf
concern-economy,2022-05-01,all,2020-26-06,2020-29-06,Harris Insights & Analytics,B+,3161,a,1.1260272,0,,,56,31,8,5,58.747119,28.435575,7.769418,3.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/06/Wave-18_tabs_Banner-1.pdf
concern-economy,2022-05-01,all,2020-25-06,2020-30-06,Global Strategy Group/GBAO (Navigator Research),B/C,1204,rv,0.54017745,0,,,46,38,13,3,53.366384,32.246419,11.314405,2.0608511,2022-05-01 09:17,https://navigatorresearch.org/wp-content/uploads/2020/07/Navigating-Coronavirus-Full-Topline-F06.30.20.pdf
concern-economy,2022-05-01,all,2020-26-06,2020-29-06,Ipsos,B-,1065,a,0.63490705,0,,,54,33,9,3,54.722716,32.541178,8.9946578,2.608299,2022-05-01 09:17,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-06/topline_axios_ipsos_poll_w15_.pdf
concern-economy,2022-05-01,all,2020-29-06,2020-05-07,SurveyMonkey,C,44557,a,0.6097347,0,,,65,26,6,2,60.087496,28.440398,7.575088,2.3871104,2022-05-01 09:17,https://www.surveymonkey.com/curiosity/nbc-poll-covid-july5/
concern-economy,2022-05-01,all,2020-02-07,2020-04-07,Harris Insights & Analytics,B+,1957,a,0.72976175,0,,,54,34,8,4,56.747119,31.435575,7.769418,2.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/07/Wave-19_tabs_Banner-1.pdf
concern-economy,2022-05-01,all,2020-01-07,2020-04-07,Morning Consult,B,2200,a,0.67414547,0,,,59,27,5,2,55.675954,30.575784,8.5951792,2.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/07/24163951/2006143_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_YW.pdf
concern-economy,2022-05-01,all,2020-06-07,2020-12-07,SurveyMonkey,C,53106,a,0.55172826,0,,,64,27,6,2,59.087496,29.440398,7.575088,2.3871104,2022-05-01 09:17,https://www.surveymonkey.com/curiosity/nbc-poll-covid-july12/
concern-economy,2022-05-01,all,2020-10-07,2020-12-07,Harris Insights & Analytics,B+,1974,a,0.77940779,0,,,50,36,9,5,52.747119,33.435575,8.769418,3.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/07/Wave-20_tabs_Banner-1.pdf
concern-economy,2022-05-01,all,2020-09-07,2020-13-07,Global Strategy Group/GBAO (Navigator Research),B/C,1002,rv,0.51474046,0,,,47,39,10,4,54.366384,33.246419,8.314405,3.0608511,2022-05-01 09:17,https://navigatorresearch.org/wp-content/uploads/2020/07/Navigating-Coronavirus-Full-Topline-07.14.20.pdf
concern-economy,2022-05-01,all,2020-09-07,2020-12-07,Morning Consult,B,1991,rv,0.61533311,0,,,60,28,4,3,56.675954,31.575784,7.5951792,3.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/07/14102450/200723_crosstabs_CORONAVIRUS_CONTENT_RVs_v2_JB.pdf
concern-economy,2022-05-01,all,2020-10-07,2020-13-07,Ipsos,B-,1063,a,0.62314645,0,,,52,32,10,3,52.722716,31.541178,9.9946578,2.608299,2022-05-01 09:17,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-07/topline-axios-poll-w16.pdf
concern-economy,2022-05-01,all,2020-13-07,2020-19-07,SurveyMonkey,C,50404,a,0.47890691,0,,,66,25,6,2,61.087496,27.440398,7.575088,2.3871104,2022-05-01 09:17,https://www.surveymonkey.com/curiosity/nbc-poll-covid-july19/
concern-economy,2022-05-01,all,2020-17-07,2020-19-07,Harris Insights & Analytics,B+,1970,a,0.80888955,0,,,57,32,6,4,59.747119,29.435575,5.769418,2.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/07/Wave-21_Banner-1.pdf
concern-economy,2022-05-01,all,2020-16-07,2020-20-07,Global Strategy Group/GBAO (Navigator Research),B/C,1015,rv,0.55314745,0,,,48,37,13,2,55.366384,31.246419,11.314405,1.0608511,2022-05-01 09:17,https://navigatorresearch.org/wp-content/uploads/2020/07/Navigating-Coronavirus-Full-Topline-07.21.20.pdf
concern-economy,2022-05-01,all,2020-17-07,2020-19-07,Morning Consult,B,2200,a,0.67207464,0,,,61,26,4,2,57.675954,29.575784,7.5951792,2.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/07/24165334/200743_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
concern-economy,2022-05-01,all,2020-17-07,2020-20-07,Ipsos,B-,1037,a,0.55711037,0,,,52,33,10,3,52.722716,32.541178,9.9946578,2.608299,2022-05-01 09:17,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-07/axios-ipsos-poll-w17.pdf
concern-economy,2022-05-01,all,2020-20-07,2020-26-07,SurveyMonkey,C,46450,a,0.43627454,0,,,66,26,5,2,61.087496,28.440398,6.575088,2.3871104,2022-05-01 09:17,https://www.surveymonkey.com/curiosity/nbc-poll-covid-july26/
concern-economy,2022-05-01,all,2020-24-07,2020-26-07,Harris Insights & Analytics,B+,1988,a,0.81310228,0,,,51,34,11,4,53.747119,31.435575,10.769418,2.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/07/Wave-22_Tabs.pdf
concern-economy,2022-05-01,all,2020-23-07,2020-26-07,Morning Consult,B,2200,a,0.65670488,0,,,59,28,4,2,55.675954,31.575784,7.5951792,2.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/07/29174441/200781_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
concern-economy,2022-05-01,all,2020-24-07,2020-27-07,Ipsos,B-,1076,a,0.55661661,0,,,58,30,9,2,58.722716,29.541178,8.9946578,1.608299,2022-05-01 09:17,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-07/topline-axios-w18.pdf
concern-economy,2022-05-01,all,2020-27-07,2020-02-08,SurveyMonkey,C,47190,a,0.45043104,0,,,67,25,5,2,62.087496,27.440398,6.575088,2.3871104,2022-05-01 09:17,https://www.surveymonkey.com/curiosity/nbc-poll-covid-aug2/
concern-economy,2022-05-01,all,2020-30-07,2020-03-08,Global Strategy Group/GBAO (Navigator Research),B/C,1407,rv,0.92057823,0,,,44,38,14,4,51.366384,32.246419,12.314405,3.0608511,2022-05-01 09:17,https://navigatorresearch.org/wp-content/uploads/2020/08/Navigating-Coronavirus-Topline-08.04.20.pdf
concern-economy,2022-05-01,all,2020-31-07,2020-02-08,Harris Insights & Analytics,B+,1992,a,0.82119879,0,,,52,35,9,4,54.747119,32.435575,8.769418,2.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/08/Binder3.pdf
concern-economy,2022-05-01,all,2020-31-07,2020-02-08,Morning Consult,B,2200,a,0.66164903,0,,,62,25,4,2,58.675954,28.575784,7.5951792,2.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/08/04113557/2007121_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
concern-economy,2022-05-01,all,2020-31-07,2020-03-08,Ipsos,B-,1129,a,0.57912413,0,,,59,29,8,4,59.722716,28.541178,7.9946578,3.608299,2022-05-01 09:17,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-08/topline-axios-wave-19.pdf
concern-economy,2022-05-01,all,2020-03-08,2020-09-08,SurveyMonkey,C,44601,a,0.44720857,0,,,68,24,5,2,63.087496,26.440398,6.575088,2.3871104,2022-05-01 09:17,https://www.surveymonkey.com/curiosity/nbc-poll-covid-aug9/
concern-economy,2022-05-01,all,2020-07-08,2020-09-08,Harris Insights & Analytics,B+,1995,a,0.82112938,0,,,53,34,9,4,55.747119,31.435575,8.769418,2.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/08/COVID-Data-tabs_w24.pdf
concern-economy,2022-05-01,all,2020-05-08,2020-10-08,Morning Consult,B,2200,a,0.65760365,0,,,61,27,4,2,57.675954,30.575784,7.5951792,2.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/08/20105707/200805_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
concern-economy,2022-05-01,all,2020-07-08,2020-10-08,Ipsos,B-,1076,a,0.56584155,0,,,58,29,8,4,58.722716,28.541178,7.9946578,3.608299,2022-05-01 09:17,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-08/topline-axios-w20.pdf
concern-economy,2022-05-01,all,2020-10-08,2020-16-08,SurveyMonkey,C,34269,a,0.36530551,0,,,65,25,6,3,60.087496,27.440398,7.575088,3.3871104,2022-05-01 09:17,https://www.surveymonkey.com/curiosity/nbc-poll-covid-aug16/
concern-economy,2022-05-01,all,2020-14-08,2020-16-08,Harris Insights & Analytics,B+,1967,a,0.81160939,0,,,50,37,8,4,52.747119,34.435575,7.769418,2.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/08/COVID-Tracker-W25-Banner-1.pdf
concern-economy,2022-05-01,all,2020-14-08,2020-17-08,Ipsos,B-,1141,a,0.6438647,0,,,56,32,7,4,56.722716,31.541178,6.9946578,3.608299,2022-05-01 09:17,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-08/topline-axios-w21.pdf
concern-economy,2022-05-01,all,2020-14-08,2020-17-08,Morning Consult,B,2200,a,0.65515491,0,,,61,25,5,2,57.675954,28.575784,8.5951792,2.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/08/17130704/200822_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
concern-economy,2022-05-01,all,2020-17-08,2020-23-08,SurveyMonkey,C,42315,a,0.45967469,0,,,64,27,6,3,59.087496,29.440398,7.575088,3.3871104,2022-05-01 09:17,https://www.surveymonkey.com/curiosity/nbc-poll-covid-aug23/
concern-economy,2022-05-01,all,2020-21-08,2020-23-08,Morning Consult,B,2200,a,0.63749062,0,,,57,27,5,3,53.675954,30.575784,8.5951792,3.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/08/24113947/200878_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
concern-economy,2022-05-01,all,2020-21-08,2020-23-08,Harris Insights & Analytics,B+,1962,a,0.80052388,0,,,54,32,10,4,56.747119,29.435575,9.769418,2.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/08/data-tabs_w26.pdf
concern-economy,2022-05-01,all,2020-21-08,2020-24-08,Ipsos,B-,1084,a,0.73043115,0,,,52,34,9,4,52.722716,33.541178,8.9946578,3.608299,2022-05-01 09:17,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-08/topline-axios-w22.pdf
concern-economy,2022-05-01,all,2020-24-08,2020-30-08,SurveyMonkey,C,37386,a,0.41570714,0,,,63,27,7,3,58.087496,29.440398,8.575088,3.3871104,2022-05-01 09:17,https://www.surveymonkey.com/curiosity/nbc-poll-covid-aug30/
concern-economy,2022-05-01,all,2020-28-08,2020-30-08,Harris Insights & Analytics,B+,1946,a,0.7830654,0,,,48,35,11,6,50.747119,32.435575,10.769418,4.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/09/Wave-27_tabs_Banner-1.pdf
concern-economy,2022-05-01,all,2020-28-08,2020-31-08,Morning Consult,B,2200,a,0.62614751,0,,,56,29,5,3,52.675954,32.575784,8.5951792,3.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/08/31125104/2008107_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
concern-economy,2022-05-01,all,2020-31-08,2020-06-09,SurveyMonkey,C,35847,a,0.40406405,0,,,61,28,7,3,56.087496,30.440398,8.575088,3.3871104,2022-05-01 09:17,https://www.surveymonkey.com/curiosity/nbc-poll-covid-sept6/
concern-economy,2022-05-01,all,2020-03-09,2020-05-09,Harris Insights & Analytics,B+,2022,a,0.80971635,0,,,47,36,11,5,49.747119,33.435575,10.769418,3.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/09/Wave-28-Data-Tabs.pdf
concern-economy,2022-05-01,all,2020-02-09,2020-06-09,Morning Consult,B,2200,a,0.62941549,0,,,55,30,6,2,51.675954,33.575784,9.5951792,2.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/09/08124344/200903_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
concern-economy,2022-05-01,all,2020-07-09,2020-13-09,SurveyMonkey,C,36654,a,0.40342585,0,,,62,28,7,3,57.087496,30.440398,8.575088,3.3871104,2022-05-01 09:17,https://www.surveymonkey.com/curiosity/nbc-poll-covid-sept13/
concern-economy,2022-05-01,all,2020-10-09,2020-12-09,Harris Insights & Analytics,B+,2037,a,0.82394023,0,,,48,37,9,6,50.747119,34.435575,8.769418,4.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/09/Binder2.pdf
concern-economy,2022-05-01,all,2020-10-09,2020-13-09,Morning Consult,B,2200,a,0.62883893,0,,,55,28,5,3,51.675954,31.575784,8.5951792,3.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/09/14102242/200943_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
concern-economy,2022-05-01,all,2020-14-09,2020-20-09,SurveyMonkey,C,36454,a,0.37141044,0,,,61,28,7,3,56.087496,30.440398,8.575088,3.3871104,2022-05-01 09:17,https://www.surveymonkey.com/curiosity/nbc-poll-covid-sept20/
concern-economy,2022-05-01,all,2020-17-09,2020-19-09,Harris Insights & Analytics,B+,1949,a,0.80085909,0,,,47,38,11,5,49.747119,35.435575,10.769418,3.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/09/Wave-30_tabs_Banner-2.pdf
concern-economy,2022-05-01,all,2020-18-09,2020-20-09,Morning Consult,B,2200,a,0.61771563,0,,,57,29,4,2,53.675954,32.575784,7.5951792,2.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/09/21134349/200974_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
concern-economy,2022-05-01,all,2020-21-09,2020-27-09,SurveyMonkey,C,48241,a,0.43321524,0,,,59,29,7,3,54.087496,31.440398,8.575088,3.3871104,2022-05-01 09:17,https://www.surveymonkey.com/curiosity/nbc-poll-covid-sept27/
concern-economy,2022-05-01,all,2020-24-09,2020-26-09,Harris Insights & Analytics,B+,1971,a,0.81195268,0,,,52,35,9,4,54.747119,32.435575,8.769418,2.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/09/Wave-31_Banner-3.pdf
concern-economy,2022-05-01,all,2020-25-09,2020-27-09,Morning Consult,B,2200,a,0.5723552,0,,,53,31,7,2,49.675954,34.575784,10.595179,2.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/09/28123730/2009107_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
concern-economy,2022-05-01,all,2020-28-09,2020-04-10,SurveyMonkey,C,50146,a,0.39499287,0,,,61,29,7,3,56.087496,31.440398,8.575088,3.3871104,2022-05-01 09:17,https://www.surveymonkey.com/curiosity/nbc-poll-covid-oct4/
concern-economy,2022-05-01,all,2020-02-10,2020-02-10,Morning Consult,B,1000,a,0.25411879,0,,,55,30,6,2,51.675954,33.575784,9.5951792,2.6301942,2022-05-01 09:17,https://morningconsult.com/form/reaction-poll-trump-covid/
concern-economy,2022-05-01,all,2020-01-10,2020-03-10,Harris Insights & Analytics,B+,1976,a,0.81187285,0,,,47,37,11,6,49.747119,34.435575,10.769418,4.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/10/wave-34_tabs.pdf
concern-economy,2022-05-01,all,2020-01-10,2020-04-10,Morning Consult,B,2200,a,0.55906133,0,,,58,26,5,3,54.675954,29.575784,8.5951792,3.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/10/05133150/2009146_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
concern-economy,2022-05-01,all,2020-02-10,2020-03-10,Morning Consult,B,1000,a,0.25411879,0,,,53,32,6,4,49.675954,35.575784,9.5951792,4.6301942,2022-05-01 09:17,https://morningconsult.com/form/reaction-poll-trump-covid/
concern-economy,2022-05-01,all,2020-05-10,2020-11-10,SurveyMonkey,C,66877,a,0.46510909,0,,,62,28,7,3,57.087496,30.440398,8.575088,3.3871104,2022-05-01 09:17,https://www.surveymonkey.com/curiosity/nbc-poll-covid-oct11/
concern-economy,2022-05-01,all,2020-08-10,2020-10-10,Harris Insights & Analytics,B+,2050,a,0.83776726,0,,,50,35,10,4,52.747119,32.435575,9.769418,2.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/10/wave-34_tabs.pdf
concern-economy,2022-05-01,all,2020-08-10,2020-10-10,Morning Consult,B,2200,a,0.6443126,0,,,59,27,5,3,55.675954,30.575784,8.5951792,3.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/10/12135446/201033_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_YW.pdf
concern-economy,2022-05-01,all,2020-12-10,2020-18-10,SurveyMonkey,C,78524,a,0.51314382,0,,,61,29,7,2,56.087496,31.440398,8.575088,2.3871104,2022-05-01 09:17,https://www.surveymonkey.com/curiosity/nbc-poll-covid-oct18/
concern-economy,2022-05-01,all,2020-15-10,2020-17-10,Harris Insights & Analytics,B+,2015,a,0.82346487,0,,,47,39,10,5,49.747119,36.435575,9.769418,3.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/10/wave-34_tabs.pdf
concern-economy,2022-05-01,all,2020-19-10,2020-25-10,SurveyMonkey,C,73903,a,0.50061371,0,,,61,29,7,3,56.087496,31.440398,8.575088,3.3871104,2022-05-01 09:17,https://www.surveymonkey.com/curiosity/nbc-poll-covid-oct25/
concern-economy,2022-05-01,all,2020-22-10,2020-24-10,Harris Insights & Analytics,B+,2050,a,0.84011994,0,,,47,37,10,6,49.747119,34.435575,9.769418,4.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/10/Wave35.pdf
concern-economy,2022-05-01,all,2020-23-10,2020-25-10,Morning Consult,B,2200,a,0.7372208,0,,,57,28,4,4,53.675954,31.575784,7.5951792,4.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/10/26131953/2010127_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf
concern-economy,2022-05-01,all,2020-26-10,2020-01-11,SurveyMonkey,C,91214,a,0.74801387,0,,,60,29,7,3,55.087496,31.440398,8.575088,3.3871104,2022-05-01 09:17,https://www.surveymonkey.com/curiosity/nbc-poll-covid-oct25/
concern-economy,2022-05-01,all,2020-29-10,2020-31-10,Harris Insights & Analytics,B+,1954,a,0.78019112,0,,,52,33,11,5,54.747119,30.435575,10.769418,3.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/11/Wave-36-tabs.pdf
concern-economy,2022-05-01,all,2020-29-10,2020-31-10,Morning Consult,B,2200,a,0.66830935,0,,,57,29,5,3,53.675954,32.575784,8.5951792,3.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/11/02141747/2010155_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf
concern-economy,2022-05-01,all,2020-05-11,2020-07-11,Harris Insights & Analytics,B+,1983,a,0.78543093,0,,,45,37,11,7,47.747119,34.435575,10.769418,5.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/11/Wave-37_Banners.pdf
concern-economy,2022-05-01,all,2020-06-11,2020-09-11,Morning Consult,B,2200,a,0.6383125,0,,,57,28,4,3,53.675954,31.575784,7.5951792,3.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/11/10112538/201117_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf
concern-economy,2022-05-01,all,2020-11-11,2020-13-11,Harris Insights & Analytics,B+,1963,a,0.81479641,0,,,51,34,10,4,53.747119,31.435575,9.769418,2.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/11/Wave-38-Data-Tabs.pdf
concern-economy,2022-05-01,all,2020-12-11,2020-14-11,Morning Consult,B,2200,a,0.63024702,0,,,58,28,4,3,54.675954,31.575784,7.5951792,3.6301942,2022-05-01 09:17,https://assets.morningconsult.com/wp-uploads/2020/11/16124949/201144_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf
concern-economy,2022-05-01,all,2020-19-11,2020-21-11,Harris Insights & Analytics,B+,2042,a,0.85359941,0,,,51,33,12,5,53.747119,30.435575,11.769418,3.8370374,2022-05-01 09:17,https://theharrispoll.com/wp-content/uploads/2020/11/wave_39.pdf
